"","StateName","StructureNumber","ElementNumber","Year.of.Inspection","ConditionState1","ConditionState2","ConditionState3","ConditionState4","FunctionalClassOfInventoryRte","TypeOfDesignConstruction","DeckStructureType","DeckProtection","ScourCriticalBridges","Owner","KindOfMaterialDesign","ADT","ADTT","Year.Built","Skew","TypeOfWearingSurface","ScourCriticalBridges.1","NumberOfSnowfalls","NumberOfFreezeThawCycles","TotalElement"
"1","Oregon","00001 000 00005",12,1999,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",2,15,600
"2","Oregon","00001 000 00005",12,2000,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",1,14,600
"3","Oregon","00001 000 00005",12,2002,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",1,18,600
"4","Oregon","00001 000 00005",12,2004,600,0,0,0,16,4,1,0,"8",4,1,3172,317,1914,0,6,"8",3,5,600
"5","Oregon","00001 000 00005",12,2006,570,30,0,0,16,4,1,0,"8",4,1,3267,326,1914,0,6,"8",2,18,600
"6","Oregon","00001 000 00005",12,2008,570,30,0,0,16,2,1,0,"8",4,1,3365,336,1914,0,6,"8",7,23,600
"7","Oregon","00001 000 00005",12,2010,570,30,0,0,16,2,1,0,"8",4,1,3399,339,1914,0,6,"8",2,8,600
"8","Oregon","00001 000 00005",12,2012,570,30,0,0,16,2,1,0,"8",4,1,3399,339,1914,0,6,"8",11,10,600
"73","Oregon","00004 000 00010",12,1999,1008,592,0,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",2,15,1600
"74","Oregon","00004 000 00010",12,2000,1008,592,0,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",1,14,1600
"75","Oregon","00004 000 00010",12,2002,0,0,1600,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",1,18,1600
"76","Oregon","00004 000 00010",12,2004,0,0,1600,0,19,2,1,0,"8",4,4,427,42,1936,30,6,"8",3,5,1600
"77","Oregon","00004 000 00010",12,2005,0,0,1600,0,19,2,1,0,"8",4,4,439,43,1936,30,6,"8",NA,17,1600
"78","Oregon","00004 000 00010",12,2006,0,1440,160,0,19,2,1,0,"8",4,4,439,43,1936,30,6,"8",2,18,1600
"79","Oregon","00004 000 00010",12,2008,0,1440,160,0,19,2,1,0,"8",4,4,452,45,1936,30,6,"8",7,23,1600
"80","Oregon","00004 000 00010",12,2010,0,1440,160,0,19,2,1,0,"8",4,4,457,45,1936,30,6,"8",2,8,1600
"81","Oregon","00004 000 00010",12,2012,0,1440,160,0,19,2,1,0,"3",4,4,457,45,1936,30,6,"3",11,10,1600
"82","Oregon","00004 000 00010",12,2014,840,640,120,0,19,2,1,0,"3",4,4,457,45,1936,30,6,"3",2,10,1600
"240","Oregon","00108B002 11455",12,1998,0,109300,0,0,1,9,1,1,"5",1,3,8800,1760,1963,0,1,"5",9,27,109300
"241","Oregon","00108B002 11455",12,2000,21860,76510,10930,0,1,9,1,1,"5",1,3,10100,3636,1963,0,1,"5",15,56,109300
"242","Oregon","00108B002 11455",12,2002,21860,76510,10930,0,1,9,1,1,"8",1,3,10600,4028,1963,0,1,"8",6,60,109300
"243","Oregon","00108B002 11455",12,2004,10930,87440,10930,0,1,9,1,1,"8",1,3,10800,4536,1963,0,1,"8",11,33,109300
"244","Oregon","00108B002 11455",12,2006,10930,87440,10930,0,1,9,1,1,"U",1,3,10800,4104,1963,0,1,"U",4,41,109300
"245","Oregon","00108B002 11455",12,2008,10930,87440,10930,0,1,9,1,1,"U",1,3,11100,3774,1963,0,1,"U",19,50,109300
"246","Oregon","00108B002 11455",12,2010,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,4028,1963,0,1,"U",15,36,109300
"247","Oregon","00108B002 11455",12,2012,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,3816,1963,0,1,"U",18,48,109300
"248","Oregon","00108B002 11455",12,2014,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,3816,1963,0,1,"U",12,33,109300
"679","Oregon","00123K030 02590",12,1998,0,173800,0,0,12,2,1,1,"6",1,4,31200,936,1953,0,6,"6",1,7,173800
"680","Oregon","00123K030 02590",12,2000,34760,104280,34760,0,12,2,1,1,"3",1,4,39400,3546,1953,0,6,"3",2,19,173800
"681","Oregon","00123K030 02590",12,2002,26070,104280,43450,0,12,2,1,1,"3",1,4,39900,2394,1953,0,6,"3",6,14,173800
"682","Oregon","00123K030 02590",12,2003,26070,104280,43450,0,12,2,1,1,"3",1,4,41700,2502,1953,0,6,"3",2,17,173800
"683","Oregon","00123K030 02590",12,2005,34760,95590,43450,0,12,2,1,1,"3",1,4,41700,2502,1953,0,6,"3",NA,25,173800
"684","Oregon","00123K030 02590",12,2007,34760,86900,52140,0,12,2,1,1,"3",1,4,42500,1700,1953,0,6,"3",8,25,173800
"685","Oregon","00123K030 02590",12,2009,34760,86900,52140,0,12,2,1,1,"3",1,4,45539,1821,1953,0,6,"3",2,33,173800
"686","Oregon","00123K030 02590",12,2011,34760,86900,52140,0,12,2,1,1,"3",1,4,42400,2120,1953,0,6,"3",6,29,173800
"687","Oregon","00123K030 02590",12,2013,34760,86900,52140,0,12,2,1,1,"3",1,4,42400,2120,1953,0,6,"3",1,26,173800
"836","Oregon","1.34E+12",12,1997,12033,7067,0,0,7,2,1,1,"8",2,6,5900,1180,1985,0,1,"8",NA,14,19100
"837","Oregon","1.34E+12",12,2001,19100,0,0,0,16,2,1,1,"8",2,6,6900,1380,1985,0,1,"8",1,14,19100
"838","Oregon","1.34E+12",12,2003,18145,764,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",1,13,19100
"839","Oregon","1.34E+12",12,2005,18145,764,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",NA,17,19100
"840","Oregon","1.34E+12",12,2007,0,18909,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",2,16,19100
"841","Oregon","1.34E+12",12,2009,0,18909,191,0,16,2,1,1,"8",2,6,8765,1314,1985,0,1,"8",NA,15,19100
"842","Oregon","1.34E+12",12,2011,17190,1719,191,0,16,2,1,1,"8",2,6,8765,1314,1985,0,1,"8",4,15,19100
"843","Oregon","1.34E+12",12,2013,16235,2674,191,0,16,2,1,1,"8",2,6,8765,1314,1984,0,1,"8",2,17,19100
"931","Oregon","00142 414700928",12,1998,1008,592,0,0,7,4,1,0,"7",2,2,500,50,1918,0,6,"7",2,6,1600
"932","Oregon","00142 414700928",12,2000,1328,272,0,0,7,4,1,0,"7",2,2,500,50,1918,0,6,"7",NA,19,1600
"933","Oregon","00142 414700928",12,2002,1328,272,0,0,7,4,1,0,"7",2,2,520,52,1918,0,6,"7",NA,16,1600
"934","Oregon","00142 414700928",12,2004,1328,272,0,0,7,4,1,0,"7",2,2,536,53,1918,0,6,"7",2,7,1600
"935","Oregon","00142 414700928",12,2006,1328,272,0,0,7,4,1,0,"7",2,2,536,53,1918,0,6,"7",1,22,1600
"936","Oregon","00142 414700928",12,2009,800,640,160,0,7,2,1,0,"7",2,2,558,27,1918,0,6,"7",11,37,1600
"937","Oregon","00142 414700928",12,2010,800,640,160,0,7,2,1,0,"3",2,2,558,27,1918,0,6,"3",2,7,1600
"938","Oregon","00142 414700928",12,2012,10,1440,150,0,7,2,1,0,"3",2,2,558,27,1918,0,6,"3",12,10,1600
"1087","Oregon","00159A604 00081",12,1998,2800,0,0,0,7,2,1,0,"6",2,5,1250,125,1979,0,1,"6",13,47,2800
"1088","Oregon","00159A604 00081",12,2000,2800,0,0,0,7,2,1,0,"3",2,5,1250,125,1979,0,1,"3",28,67,2800
"1089","Oregon","00159A604 00081",12,2002,2800,0,0,0,7,2,1,0,"3",2,5,1275,127,1979,0,1,"3",13,64,2800
"1090","Oregon","00159A604 00081",12,2004,2800,0,0,0,7,2,1,0,"3",2,5,1313,131,1979,0,1,"3",14,42,2800
"1091","Oregon","00159A604 00081",12,2006,2800,0,0,0,7,2,1,0,"3",2,5,1313,131,1979,0,1,"3",17,57,2800
"1092","Oregon","00159A604 00081",12,2009,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",18,60,2800
"1093","Oregon","00159A604 00081",12,2010,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",15,27,2800
"1094","Oregon","00159A604 00081",12,2012,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",31,58,2800
"1095","Oregon","00159A604 00081",12,2015,800,2000,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",11,16,2800
"1358","Oregon","00200A026 10236",12,1999,25300,0,0,0,7,5,NA,NA,"5",1,6,7200,720,1982,25,NA,"5",10,53,25300
"1359","Oregon","00200A026 10236",12,2001,24035,1265,0,0,7,5,NA,NA,"5",1,6,6900,690,1982,25,NA,"5",11,62,25300
"1360","Oregon","00200A026 10236",12,2003,24035,1012,253,0,7,5,NA,NA,"5",1,6,7000,280,1982,25,NA,"5",7,44,25300
"1361","Oregon","00200A026 10236",12,2005,22770,2277,253,0,7,5,1,8,"5",1,6,7000,280,1982,25,1,"5",12,45,25300
"1362","Oregon","00200A026 10236",12,2007,22770,2277,253,0,6,5,1,0,"5",1,6,7600,228,1982,25,1,"5",21,47,25300
"1363","Oregon","00200A026 10236",12,2009,22770,2277,253,0,6,5,1,0,"5",1,6,7575,75,1982,25,1,"5",18,60,25300
"1364","Oregon","00200A026 10236",12,2011,22770,2277,253,0,6,5,1,0,"5",1,6,7200,144,1982,25,1,"5",15,43,25300
"1365","Oregon","00200A026 10236",12,2013,22770,2277,253,0,6,5,1,0,"5",1,6,720,50,1982,25,1,"5",6,42,25300
"1749","Oregon","3.08E+12",12,1998,432,0,4968,0,19,2,1,0,"8",2,2,50,0,1919,0,6,"8",7,35,5400
"1750","Oregon","3.08E+12",12,2002,1350,1350,2700,0,19,2,1,0,"8",2,2,51,0,1919,0,6,"8",2,68,5400
"1751","Oregon","3.08E+12",12,2004,540,1242,3618,0,19,2,1,0,"8",2,2,53,0,1919,0,6,"8",10,43,5400
"1752","Oregon","3.08E+12",12,2006,5400,0,0,0,19,2,1,0,"8",2,2,53,0,1919,0,6,"8",5,56,5400
"1753","Oregon","3.08E+12",12,2008,5400,0,0,0,19,2,1,0,"8",2,2,55,0,1919,0,6,"8",13,60,5400
"1754","Oregon","3.08E+12",12,2010,5400,0,0,0,19,2,1,0,"8",2,2,56,0,1919,0,6,"8",12,42,5400
"1755","Oregon","3.08E+12",12,2012,4860,540,0,0,19,2,1,0,"8",2,2,56,0,1919,0,6,"8",18,64,5400
"1821","Oregon","00315F019 00020",12,1997,747,153,0,0,7,2,1,8,"6",2,1,761,76,1926,60,6,"6",NA,2,900
"1822","Oregon","00315F019 00020",12,1999,747,153,0,0,7,4,1,0,"8",2,1,2500,250,1926,60,6,"8",1,1,900
"1823","Oregon","00315F019 00020",12,2001,747,153,0,0,7,4,1,0,"8",2,1,2550,255,1926,60,6,"8",1,2,900
"1824","Oregon","00315F019 00020",12,2003,747,153,0,0,7,4,1,0,"8",2,1,2550,255,1926,60,6,"8",2,4,900
"1825","Oregon","00315F019 00020",12,2004,855,45,0,0,7,4,1,0,"8",2,1,2626,262,1926,60,6,"8",4,10,900
"1826","Oregon","00315F019 00020",12,2006,855,45,0,0,7,4,1,0,"8",2,1,2626,262,1926,60,6,"8",2,10,900
"1827","Oregon","00315F019 00020",12,2009,855,45,0,0,6,2,1,0,"8",2,1,2940,294,1926,60,6,"8",4,18,900
"1828","Oregon","00315F019 00020",12,2010,855,45,0,0,6,2,1,0,"8",2,1,2940,294,1926,60,6,"8",NA,3,900
"1829","Oregon","00315F019 00020",12,2012,855,45,0,0,6,2,1,0,"8",2,1,2940,294,1926,60,6,"8",12,3,900
"1830","Oregon","00315F019 00020",12,2015,891,9,0,0,16,2,1,0,"8",2,1,2940,294,1926,60,6,"8",1,1,900
"2070","Oregon","00332 301 00291",12,1998,0,22700,0,0,7,2,1,0,"8",1,1,530,15,1955,0,1,"8",7,35,22700
"2071","Oregon","00332 301 00291",12,2000,0,17025,5675,0,7,2,1,0,"8",1,1,610,73,1955,0,1,"8",9,72,22700
"2072","Oregon","00332 301 00291",12,2002,0,14755,7945,0,7,3,1,0,"5",1,2,630,119,1955,0,1,"5",2,68,22700
"2073","Oregon","00332 301 00291",12,2004,6810,6810,9080,0,7,3,1,0,"5",1,2,450,85,1955,0,1,"5",10,43,22700
"2074","Oregon","00332 301 00291",12,2005,6810,6810,9080,0,7,3,1,0,"5",1,2,460,36,1955,0,1,"5",9,47,22700
"2075","Oregon","00332 301 00291",12,2006,2270,9080,11350,0,7,3,1,0,"U",1,2,620,49,1955,0,1,"U",5,56,22700
"2076","Oregon","00332 301 00291",12,2007,2270,9080,11350,0,7,3,1,0,"U",1,2,620,49,1955,0,1,"U",6,53,22700
"2077","Oregon","00332 301 00291",12,2008,2270,9080,11350,0,7,3,1,0,"U",1,2,640,44,1955,0,1,"U",13,60,22700
"2078","Oregon","00332 301 00291",12,2009,2270,9080,11350,0,7,3,1,0,"U",1,2,646,45,1955,0,1,"U",10,61,22700
"2079","Oregon","00332 301 00291",12,2010,2270,9080,11350,0,7,3,1,0,"U",1,2,610,67,1955,0,1,"U",12,42,22700
"2080","Oregon","00332 301 00291",12,2011,2270,9080,11350,0,7,3,1,0,"U",1,2,610,67,1955,0,1,"U",14,74,22700
"2081","Oregon","00332 301 00291",12,2013,18160,3405,1135,0,7,3,1,0,"U",1,2,430,60,1955,0,1,"U",5,56,22700
"2339","Oregon","00332C002 09985",12,1997,0,43500,0,0,1,2,1,0,"5",1,3,11500,2300,1964,0,1,"5",5,49,43500
"2340","Oregon","00332C002 09985",12,1999,34800,6525,2175,0,1,2,1,0,"5",1,3,11500,2300,1964,0,1,"5",2,30,43500
"2341","Oregon","00332C002 09985",12,2001,34800,6525,2175,0,1,2,1,0,"5",1,3,13700,4795,1964,0,1,"5",11,53,43500
"2342","Oregon","00332C002 09985",12,2003,34800,6525,2175,0,1,2,1,0,"5",1,3,13900,3892,1964,0,1,"5",10,38,43500
"2343","Oregon","00332C002 09985",12,2005,30450,10875,2175,0,1,2,1,0,"5",1,3,14400,4032,1964,0,1,"5",6,40,43500
"2344","Oregon","00332C002 09985",12,2007,34800,6525,2175,0,1,2,1,0,"5",1,3,14400,3600,1964,0,1,"5",5,38,43500
"2345","Oregon","00332C002 09985",12,2008,34800,6525,2175,0,1,2,1,0,"5",1,3,14600,3650,1964,0,1,"5",16,43,43500
"2346","Oregon","00332C002 09985",12,2010,34800,6525,2175,0,1,2,1,0,"5",1,3,13800,4278,1964,0,3,"5",10,27,43500
"2347","Oregon","00332C002 09985",12,2012,34800,6525,2175,0,1,2,1,0,"5",1,3,10800,3456,1964,0,3,"5",14,45,43500
"2348","Oregon","00332C002 09985",12,2015,36500,7000,0,0,1,2,1,0,"5",1,3,10800,3456,1964,0,3,"5",9,26,43500
"2444","Oregon","00338 02WF03647",12,1998,2100,0,0,0,7,3,1,0,"3",1,2,20,0,1920,0,6,"3",2,6,2100
"2445","Oregon","00338 02WF03647",12,2000,1995,84,21,0,7,3,1,0,"3",1,2,20,0,1920,0,6,"3",NA,19,2100
"2446","Oregon","00338 02WF03647",12,2002,1995,84,21,0,7,3,1,0,"8",1,2,20,2,1920,0,6,"8",NA,16,2100
"2447","Oregon","00338 02WF03647",12,2004,1995,84,21,0,7,2,1,0,"8",1,2,21,2,1920,0,6,"8",2,7,2100
"2448","Oregon","00338 02WF03647",12,2006,1995,84,21,0,7,2,1,0,"8",1,2,21,2,1920,0,6,"8",1,22,2100
"2604","Oregon","00351A030 01831",12,1997,10900,0,0,0,2,1,1,8,"3",1,2,17300,692,1973,0,1,"3",18,9,10900
"2605","Oregon","00351A030 01831",12,1999,10900,0,0,0,2,1,1,0,"3",1,2,24000,2160,1973,0,6,"3",57,6,10900
"3474","Oregon","00403A01W 05106",12,2006,896,0,0,0,2,1,1,0,"6",1,1,4400,440,1920,0,6,"6",24,19,896
"3475","Oregon","00403A01W 05106",12,2008,896,0,0,0,6,2,1,0,"5",1,1,4532,453,1920,0,6,"5",17,22,896
"3476","Oregon","00403A01W 05106",12,2010,851,0,45,0,6,2,1,0,"5",1,1,4200,756,1920,0,6,"5",8,5,896
"3477","Oregon","00403A01W 05106",12,2012,851,0,45,0,6,2,1,0,"5",1,1,4600,874,1920,0,6,"5",20,12,896
"3478","Oregon","00403A01W 05106",12,2014,891,0,5,0,6,2,1,0,"5",1,1,4600,874,1920,0,6,"5",6,14,896
"4086","Oregon","00417 01W 04975",12,2006,470,0,0,0,2,2,1,0,"6",1,1,4400,440,1919,10,6,"6",24,19,470
"4087","Oregon","00417 01W 04975",12,2008,470,0,0,0,6,2,1,0,"5",1,1,4532,453,1919,10,6,"5",17,22,470
"4088","Oregon","00417 01W 04975",12,2010,447,0,23,0,6,2,1,0,"5",1,1,4200,756,1919,10,6,"5",8,5,470
"4089","Oregon","00417 01W 04975",12,2012,447,0,23,0,6,2,1,0,"5",1,1,4600,874,1919,10,6,"5",20,12,470
"4090","Oregon","00417 01W 04975",12,2014,468,0,2,0,6,2,1,0,"5",1,1,4600,874,1919,10,6,"5",6,14,470
"4890","Oregon","00450 066 02460",12,1997,4400,0,0,0,7,4,1,0,"N",1,2,510,81,1921,99,6,"N",15,100,4400
"4891","Oregon","00450 066 02460",12,1999,4268,132,0,0,7,2,1,0,"N",1,2,480,62,1921,0,6,"N",14,124,4400
"4892","Oregon","00450 066 02460",12,2001,4180,220,0,0,7,2,1,0,"N",1,2,510,45,1921,0,6,"N",21,101,4400
"4893","Oregon","00450 066 02460",12,2003,4180,220,0,0,7,2,1,0,"N",1,2,440,30,1921,0,6,"N",11,91,4400
"4894","Oregon","00450 066 02460",12,2005,3960,440,0,0,7,2,1,0,"N",1,2,440,30,1921,0,6,"N",9,77,4400
"4895","Oregon","00450 066 02460",12,2007,2640,1100,660,0,7,2,1,0,"N",1,2,430,47,1921,0,6,"N",14,73,4400
"4896","Oregon","00450 066 02460",12,2009,2640,1100,660,0,7,2,1,0,"N",1,2,384,42,1921,0,6,"N",25,102,4400
"4897","Oregon","00450 066 02460",12,2011,2640,1100,660,0,7,2,1,0,"N",1,2,380,38,1921,0,6,"N",21,107,4400
"4898","Oregon","00450 066 02460",12,2013,3080,880,440,0,7,2,1,0,"N",1,2,660,52,1921,0,6,"N",15,100,4400
"5153","Oregon","00463 365 00103",12,1998,5700,0,0,0,16,4,1,1,"2",4,5,1386,138,1987,0,1,"2",7,35,5700
"5154","Oregon","00463 365 00103",12,2000,0,5700,0,0,16,4,1,1,"2",4,5,1386,138,1987,0,1,"2",9,72,5700
"5155","Oregon","00463 365 00103",12,2002,5700,0,0,0,16,4,1,1,"2",4,5,1428,142,1987,0,1,"2",2,68,5700
"5156","Oregon","00463 365 00103",12,2004,5700,0,0,0,16,4,1,1,"2",4,5,1471,147,1987,0,1,"2",10,43,5700
"5157","Oregon","00463 365 00103",12,2006,0,5700,0,0,16,2,1,1,"2",4,5,1471,147,1987,0,1,"2",5,56,5700
"5158","Oregon","00463 365 00103",12,2008,0,5700,0,0,16,2,1,1,"2",4,5,1515,151,1987,0,1,"2",13,60,5700
"5159","Oregon","00463 365 00103",12,2010,0,5700,0,0,16,2,1,1,"4",4,5,1576,157,1987,0,1,"4",12,42,5700
"5160","Oregon","00463 365 00103",12,2012,0,4560,1140,0,16,2,1,1,"4",4,5,1515,151,1987,0,1,"4",18,64,5700
"5161","Oregon","00463 365 00103",12,2014,2565,2280,855,0,16,2,1,1,"4",4,5,1515,151,1987,0,1,"4",10,36,5700
"5215","Oregon","00464 000000059",12,1998,2520,1000,480,0,16,2,1,0,"8",4,2,12800,1280,1920,0,6,"8",7,35,4000
"5216","Oregon","00464 000000059",12,2000,2520,1000,480,0,16,2,1,0,"8",4,2,12800,1280,1920,0,6,"8",9,72,4000
"5217","Oregon","00464 000000059",12,2002,4000,0,0,0,16,2,1,0,"8",4,2,13184,1318,1920,0,6,"8",2,68,4000
"5218","Oregon","00464 000000059",12,2004,3000,1000,0,0,16,2,1,0,"8",4,2,13580,1358,1920,0,6,"8",10,43,4000
"5219","Oregon","00464 000000059",12,2006,3000,1000,0,0,16,2,1,0,"8",4,2,13580,1358,1920,0,6,"8",5,56,4000
"5220","Oregon","00464 000000059",12,2008,3000,1000,0,0,16,2,1,0,"8",4,2,13987,1398,1920,0,6,"8",13,60,4000
"5221","Oregon","00464 000000059",12,2009,3000,1000,0,0,16,2,1,0,"8",4,2,14127,1412,1920,0,6,"8",10,61,4000
"5222","Oregon","00464 000000059",12,2010,3000,1000,0,0,16,2,1,0,"8",4,2,14127,1412,1920,0,6,"8",12,42,4000
"5223","Oregon","00464 000000059",12,2012,3000,1000,0,0,16,2,1,0,"8",4,2,14127,1412,1920,0,6,"8",18,64,4000
"5809","Oregon","00498 292 00064",12,1998,0,4400,0,0,7,11,1,0,"8",1,1,400,20,1920,0,6,"8",7,35,4400
"5897","Oregon","5.00E+12",12,1998,1300,0,0,0,8,4,1,0,"U",4,2,312,31,1960,0,1,"U",14,61,1300
"5898","Oregon","5.00E+12",12,1999,1300,0,0,0,8,4,1,0,"U",4,2,312,31,1960,0,1,"U",30,93,1300
"5899","Oregon","5.00E+12",12,2001,1300,0,0,0,8,4,1,0,"U",4,2,312,31,1960,0,1,"U",21,92,1300
"5900","Oregon","5.00E+12",12,2003,1300,0,0,0,8,5,1,0,"U",4,2,321,32,1960,0,1,"U",25,60,1300
"5901","Oregon","5.00E+12",12,2005,0,910,390,0,8,2,1,0,"U",4,2,330,33,1960,0,1,"U",7,57,1300
"5902","Oregon","5.00E+12",12,2007,0,910,390,0,8,2,1,0,"U",4,2,330,33,1960,0,1,"U",15,57,1300
"5903","Oregon","5.00E+12",12,2009,0,910,390,0,8,2,1,0,"U",4,2,343,34,1960,0,1,"U",31,69,1300
"5904","Oregon","5.00E+12",12,2011,0,910,390,0,8,2,1,0,"3",4,2,343,34,1960,0,1,"3",32,62,1300
"5905","Oregon","5.00E+12",12,2013,65,910,325,0,8,2,1,0,"3",4,2,343,34,1960,0,1,"3",20,70,1300
"5992","Oregon","00506 292 01499",12,1998,0,1500,0,0,16,4,1,0,"3",1,2,1500,150,1920,0,6,"3",7,35,1500
"5993","Oregon","00506 292 01499",12,2000,0,1500,0,0,16,4,1,0,"3",1,2,4200,168,1920,0,6,"3",9,72,1500
"5994","Oregon","00506 292 01499",12,2002,0,1500,0,0,16,4,1,0,"5",1,2,4200,168,1920,0,6,"5",2,68,1500
"5995","Oregon","00506 292 01499",12,2004,0,1500,0,0,16,2,1,0,"5",1,2,4326,173,1920,0,6,"5",10,43,1500
"5996","Oregon","00506 292 01499",12,2006,0,1500,0,0,16,2,1,0,"U",1,2,4326,173,1920,0,6,"U",5,56,1500
"5997","Oregon","00506 292 01499",12,2008,0,1500,0,0,7,2,1,0,"U",1,2,4590,183,1920,0,6,"U",13,60,1500
"5998","Oregon","00506 292 01499",12,2010,0,1500,0,0,7,2,1,0,"U",1,2,1700,221,1920,0,6,"U",12,42,1500
"5999","Oregon","00506 292 01499",12,2012,0,1500,0,0,7,2,1,0,"U",1,2,6000,660,1920,0,6,"U",18,64,1500
"6190","Oregon","00511A932600000",12,1998,13300,39900,0,0,17,3,1,0,"N",2,2,18702,1870,1927,0,6,"N",7,5,53200
"6191","Oregon","00511A932600000",12,2002,53200,0,0,0,12,3,1,0,"N",2,2,41058,4105,1927,0,6,"N",NA,3,53200
"6192","Oregon","00511A932600000",12,2004,53200,0,0,0,12,3,1,0,"N",2,2,53375,5337,1927,0,6,"N",2,3,53200
"6193","Oregon","00511A932600000",12,2006,44156,9044,0,0,0,3,1,0,"N",2,2,54976,5497,1927,0,6,"N",NA,10,53200
"6194","Oregon","00511A932600000",12,2009,44156,9044,0,0,14,3,1,0,"N",2,2,58907,5890,1927,0,2,"N",7,16,53200
"6195","Oregon","00511A932600000",12,2011,26600,15960,10640,0,14,3,1,0,"N",2,2,58907,5890,1927,0,2,"N",3,8,53200
"6196","Oregon","00511A932600000",12,2013,18620,15960,18620,0,14,3,1,0,"N",2,2,58907,5890,1927,0,2,"N",NA,11,53200
"6388","Oregon","00523 292 00597",12,2000,450,150,0,0,7,4,1,0,"3",1,1,310,12,1920,0,6,"3",9,72,600
"6389","Oregon","00523 292 00597",12,2002,450,150,0,0,7,4,1,0,"5",1,1,310,12,1920,0,6,"5",2,68,600
"6390","Oregon","00523 292 00597",12,2004,450,144,6,0,7,2,1,0,"5",1,1,319,12,1920,0,6,"5",10,43,600
"6391","Oregon","00523 292 00597",12,2006,450,144,6,0,7,2,1,0,"5",1,1,319,12,1920,0,6,"5",5,56,600
"6392","Oregon","00523 292 00597",12,2008,450,120,30,0,8,2,1,0,"5",1,1,339,13,1920,0,6,"5",13,60,600
"6393","Oregon","00523 292 00597",12,2010,450,120,30,0,8,2,1,0,"5",1,1,280,5,1920,0,6,"5",12,42,600
"6394","Oregon","00523 292 00597",12,2012,450,120,30,0,8,2,1,0,"5",1,1,340,20,1920,0,6,"5",18,64,600
"6395","Oregon","00523 292 00597",12,2014,450,120,30,0,8,2,1,0,"5",1,1,340,20,1920,0,6,"5",10,36,600
"6451","Oregon","00524 292 00664",12,1998,1512,888,0,0,8,11,1,0,"9",1,1,400,20,1921,0,6,"9",7,35,2400
"6828","Oregon","00548A000 00000",12,1998,2100,0,0,0,9,2,1,0,"2",4,1,2920,29,1921,0,6,"2",11,12,2100
"6829","Oregon","00548A000 00000",12,2000,2037,63,0,0,9,2,1,0,"2",4,1,2920,29,1921,0,6,"2",7,6,2100
"6830","Oregon","00548A000 00000",12,2002,1995,63,42,0,9,2,1,0,"2",4,1,2920,29,1921,0,6,"2",11,24,2100
"6831","Oregon","00548A000 00000",12,2005,1050,1050,0,0,9,2,1,0,"2",4,1,3008,30,1921,0,6,"2",5,12,2100
"6832","Oregon","00548A000 00000",12,2007,1050,1050,0,0,9,2,1,0,"2",4,2,3098,30,1921,0,6,"2",15,35,2100
"6833","Oregon","00548A000 00000",12,2009,1995,105,0,0,9,2,1,0,"2",4,2,3223,32,1921,0,6,"2",3,33,2100
"6834","Oregon","00548A000 00000",12,2011,1995,105,0,0,9,2,1,0,"3",4,2,3223,32,1921,0,6,"3",13,36,2100
"6835","Oregon","00548A000 00000",12,2013,1995,105,0,0,7,2,1,0,"3",4,2,3223,32,1921,0,6,"3",8,21,2100
"6881","Oregon","00552A058 01066",12,2003,1292,0,0,0,6,22,2,0,"U",1,1,3800,494,1954,0,6,"U",11,31,1292
"6882","Oregon","00552A058 01066",12,2004,1292,0,0,0,6,22,2,0,"U",1,1,3800,494,1954,0,6,"U",12,17,1292
"6883","Oregon","00552A058 01066",12,2005,1292,0,0,0,6,22,2,0,"U",1,1,3900,507,1954,0,6,"U",10,25,1292
"6884","Oregon","00552A058 01066",12,2006,1292,0,0,0,6,22,2,0,"3",1,1,3800,684,1954,0,6,"3",21,36,1292
"6885","Oregon","00552A058 01066",12,2007,1292,0,0,0,6,22,2,0,"3",1,1,3800,684,1954,0,6,"3",22,46,1292
"6886","Oregon","00552A058 01066",12,2008,1292,0,0,0,6,22,2,0,"3",1,1,3900,780,1954,0,6,"3",29,53,1292
"6887","Oregon","00552A058 01066",12,2009,1292,0,0,0,6,22,2,0,"3",1,1,3939,787,1954,0,6,"3",8,44,1292
"6888","Oregon","00552A058 01066",12,2010,1292,0,0,0,6,22,2,0,"3",1,1,3100,589,1954,0,6,"3",14,16,1292
"6889","Oregon","00552A058 01066",12,2011,1292,0,0,0,6,22,2,0,"3",1,1,3100,589,1954,0,6,"3",21,46,1292
